"","Bacteroides_thetaiotaomicron","Faecalibacterium_prausnitzii","Bacteroides_fragilis","Fusicatenibacter_saccharivorans","Dorea_longicatena","Intestinimonas_butyriciproducens","Anaerostipes_hadrus","Collinsella_aerofaciens","Blautia_obeum","_Clostridium__scindens","Alistipes_finegoldii","Dielma_fastidiosa","Eubacterium_ramulus","Clostridium_paraputrificum","Bifidobacterium_bifidum","Bifidobacterium_breve","Bifidobacterium_animalis","Lactobacillus_acidophilus","Lactobacillus_gasseri"
"sub_9002000001235867LL",0.39745,6.74384,0.11422,12.37097,1.97196,0,3.26459,6.73856,0.63466,0,0.01617,0,0.34437,0,0,0,0,0,0
"sub_9002000001236274LL",0.08277,8.82001,0,15.36795,6.0332,0,7.90029,10.26405,4.54687,0,0.31777,0,2.08651,0,0,0,0.00359,0,0
"sub_9002000001236793LL",0.4807,4.75876,0,6.89909,3.8425,0,1.53275,0.31199,0.42967,0,0.00585,0,0.2596,0,0,0,0,0,0
"sub_9002000001237520LL",0,5.6387,0,2.01999,2.65927,0,0.23304,25.28986,0.98322,0,0,0,0.08285,0,7.64551,0.03869,0,0,0
"sub_9002000001238804LL",0.00165,6.34836,0,3.04371,5.07145,0.01723,0.90646,5.91818,0.34598,0,0.02993,0,0.14694,0,0,0,0,0,0
"sub_9002000001239202LL",0.06718,5.66635,0.11339,6.07002,4.89571,0,0.44471,0.02681,1.04441,0,1.1833,0,0.17965,0.04145,0,0,0.77739,0,0.0039
"sub_9002000001239599LL",0.05066,6.78085,0,2.44267,1.82324,0,1.70522,8.9799,1.35841,0,0,0,0.06572,0,0,0,0,0,0
"sub_9002000001240080LL",0,7.38201,0,8.4458,1.2263,0.08906,10.33723,6.01494,0.4302,0,1.04845,0.0403,0.14863,0,0,0,0.00697,0,0
"sub_9002000001240419LL",0.09564,7.59661,0.24045,1.76816,0,0,1.3131,7.07393,2.84546,0,0.01079,0,0.56708,0.00069,4.64325,0,0,0,0
"sub_9002000001240722LL",0,3.36992,0,4.31035,8.68911,0,9.37918,16.46362,3.43054,0,0,0,0,0,0,0,0,0,0
"sub_9002000001240830LL",0.07232,11.60707,0,5.71965,5.34606,0,0.64362,11.19641,6.48129,0,0.00127,0,0.11913,0.33441,0,0,0,0,0
"sub_9002000001241111LL",0.04449,14.63152,0,7.9817,3.26303,0,1.76349,3.67247,5.86615,0,0.05137,0,0.14521,0,0,0,0.00903,0,0
"sub_9002000001241407LL",0.02151,9.22619,0.0276,6.13733,5.29483,0,1.07956,8.75588,1.93285,0,0.08541,0,0.1337,0,0,0.06116,0,0,0
"sub_9002000001242610LL",0.16739,7.69071,0,1.73605,1.17382,0,2.75794,5.12638,0.32103,0,0.03386,0,0.01187,0,0,0,0,0,0
"sub_9002000001242988LL",0.14855,11.08961,0.00582,2.44163,2.28255,0,2.59834,8.76547,4.015,0,0.04354,0,0.05773,0,0,0,0,0,0
"sub_9002000001243214LL",0,1.51615,0,2.70536,2.67326,0,2.87732,21.02955,4.43501,0,0,0,0.70585,0,0,0,0,0,0
"sub_9002000001243260LL",0.08379,0.35205,0.02478,0,2.20116,0,2.46583,7.02322,0.02052,0,1.39527,0,0,0,0,0,0,0,0
