"","Bacteroides_thetaiotaomicron","Faecalibacterium_prausnitzii","Bacteroides_fragilis","Fusicatenibacter_saccharivorans","Dorea_longicatena","Intestinimonas_butyriciproducens","Anaerostipes_hadrus","Collinsella_aerofaciens","Blautia_obeum","_Clostridium__scindens","Alistipes_finegoldii","Dielma_fastidiosa","Eubacterium_ramulus","Clostridium_paraputrificum","Bifidobacterium_bifidum","Bifidobacterium_breve","Bifidobacterium_animalis","Lactobacillus_acidophilus","Lactobacillus_gasseri"
"IBD_159",0.44761,5.0745,1.92583,0.38206,0.17264,0.13264,0.02886,0.03513,0.03961,0,3.66368,0,0,0,0,0,0,0,0
"IBD_160",0.20685,2.1658,0.93459,0.04152,0.11336,0,0,0.01211,0,0,1.98809,0,0,0,0,0,0,0,0
"IBD_161",0,0.19579,1.47551,0,0,0,0.42983,0,0,0,0,0,0,0,0,0.04088,0,0,0
"IBD_162",0,0.19494,1.45727,0,0,0,0.49215,0,0,0,0,0,0,0,0,0.01512,0,0,0
"IBD_163",0,0,0,0,0,0,0,0,0,0,0,0,0,0.20257,0.10784,0.06171,0.09967,0,0
"IBD_164",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00299,0.10307,0.2017,0.20147,0.08654,0
"IBD_165",0,0.01557,0,0,0,0,0,0,0,0,0,0,0,0.05745,0.05604,0.02774,0.25296,0.4508,0
"IBD_166",1.59104,0,0,3.37361,0.14095,0.06242,0,0,1.44289,0,0,0,0,0,0,0,0,0,0
"IBD_167",1.85191,0.04797,0,0.57365,0.17488,0.17454,0,0,0.15426,0,0,0,0,0,0,0,0,0,0
"IBD_168",4.16874,0,0,1.19621,0.10735,0.21937,0,0,0.13651,0,0,0,0,0,0,0,0,0,0
"IBD_169",2.19328,0.03049,0,0.91248,0.19848,1.01384,0,0,0.0281,0,0.01141,0,0,0,0,0,0,0,0
"IBD_170",2.08741,0,0,1.30445,0.23897,1.35309,0,0,0.04354,0,0,0,0,0,0,0,0,0,0
"IBD_171",1.61205,0,0,3.17164,0.25706,2.02849,0,0,0.40951,0.00691,0,0,0,0,0,0,0,0,0
"IBD_172",1.86042,1.80676,0.26652,0.47099,0,0.07991,0.20619,0.08899,0.06982,0,1.6574,0,0,0,0,0,0,0,0
"IBD_173",0.68116,5.80781,0.34586,0.93538,0,0.48427,1.04643,0.32076,0.75482,0,2.06751,0,0,0,0,0,0,0,0
"IBD_174",2.1817,2.76756,0.2953,0.72345,0,0.18602,0.23328,0.1127,0.39558,0,1.71874,0,0,0,0,0,0,0,0
